date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:44	7042/7042	---MC-	502	error ('Bad%20Gateway')	text/html	date:Wed,%2018%20May%202022%2017:02:45%20GMT	https://www.terra.money/robots.txt		(from )
14:02:44	86466/86466	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2017:02:45%20GMT	https://www.terra.money/	C:/My%20Web%20Sites/https___www.terra.money_/www.terra.money/index.html	(from )
14:02:46	305361/305361	---M-Z	200	added ('OK')	text/css	etag:%221723e52fa462f973e2e8e4efe49462a2%22	https://assets.website-files.com/611153e7af981472d8da199c/css/terramoney.82620313d.min.css	C:/My%20Web%20Sites/https___www.terra.money_/assets.website-files.com/611153e7af981472d8da199c/css/terramoney.82620313d.min.css	(from https://www.terra.money/)
14:02:46	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/https___www.terra.money_/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.terra.money/)
14:02:46	1158/1158	---M--	200	added ('OK')	image/png	etag:%22c0cdb6e140bfd423d73ba7cbb3ad841e%22	https://assets.website-files.com/611153e7af981472d8da199c/618d703ee436c52a5a5951d4_favicon_32.png	C:/My%20Web%20Sites/https___www.terra.money_/assets.website-files.com/611153e7af981472d8da199c/618d703ee436c52a5a5951d4_favicon_32.png	(from https://www.terra.money/)
14:02:47	11235/11235	---M--	200	added ('OK')	image/png	etag:%22b520fab0e71dd900097d5aded00c5197%22	https://assets.website-files.com/611153e7af981472d8da199c/61117b476d11877a9638750e_Terra%20Opengraph.png	C:/My%20Web%20Sites/https___www.terra.money_/assets.website-files.com/611153e7af981472d8da199c/61117b476d11877a9638750e_Terra%20Opengraph.png	(from https://www.terra.money/)
14:02:48	8581/8581	---M-Z	200	added ('OK')	application/javascript	etag:W/%222185-uwnEkGsOnEewdcmjL5oi9DQ12dY%22	https://cdn.jsdelivr.net/gh/nuxodin/ie11CustomProperties@4.1.0/ie11CustomProperties.min.js	C:/My%20Web%20Sites/https___www.terra.money_/cdn.jsdelivr.net/gh/nuxodin/ie11CustomProperties@4.1.0/ie11CustomProperties.min.js	(from https://www.terra.money/)
14:02:48	22863/22863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22594f-TSXCbaDKS82t71+dEp4D3JY4/cQ%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	C:/My%20Web%20Sites/https___www.terra.money_/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	(from https://www.terra.money/)
14:02:50	0/0	---M--	302	error ('Moved%20Temporarily')	text/plain	date:Wed,%2018%20May%202022%2017:02:50%20GMT	https://www.terra.money/bugcrowd	C:/My%20Web%20Sites/https___www.terra.money_/www.terra.money/bugcrowd	(from https://www.terra.money/)
14:02:51	0/0	---M--	302	error ('Moved%20Temporarily')	text/plain	date:Wed,%2018%20May%202022%2017:02:51%20GMT	https://www.terra.money/ecosystem	C:/My%20Web%20Sites/https___www.terra.money_/www.terra.money/ecosystem	(from https://www.terra.money/)
14:02:53	254146/254146	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2017:02:53%20GMT	https://www.terra.money/ecosystem	C:/My%20Web%20Sites/https___www.terra.money_/www.terra.money/ecosystem.html	(from https://www.terra.money/)
14:02:56	0/0	---M--	302	error ('Moved%20Temporarily')	text/plain	date:Wed,%2018%20May%202022%2017:02:56%20GMT	https://www.terra.money/fellowship	C:/My%20Web%20Sites/https___www.terra.money_/www.terra.money/fellowship.b.delayed	(from https://www.terra.money/)
14:02:56	0/-1	---M--	302	error ('')			https://www.terra.money/fellowship	C:/My%20Web%20Sites/https___www.terra.money_/www.terra.money/fellowship.d.delayed	(from https://www.terra.money/)
14:02:57	158252/158252	---M--	200	added ('OK')	image/png	etag:%22cef711dd7a8dae6d5a96053b2ae655c5%22	https://assets.website-files.com/611153e7af981472d8da199c/6256a308c5188f6feb1934b1_TerradappExpo.png	C:/My%20Web%20Sites/https___www.terra.money_/assets.website-files.com/611153e7af981472d8da199c/6256a308c5188f6feb1934b1_TerradappExpo.png	(from https://www.terra.money/)
